,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
570,56,57,6,5,51,52,1,Train/1/00001_00000_00000.png
571,55,57,5,6,50,52,1,Train/1/00001_00000_00001.png
572,56,56,5,6,51,51,1,Train/1/00001_00000_00002.png
573,58,58,6,6,53,52,1,Train/1/00001_00000_00003.png
574,59,59,6,6,54,53,1,Train/1/00001_00000_00004.png
575,57,59,5,6,52,54,1,Train/1/00001_00000_00005.png
576,57,59,5,5,52,54,1,Train/1/00001_00000_00006.png
577,57,59,5,5,52,53,1,Train/1/00001_00000_00007.png
578,60,60,6,6,54,54,1,Train/1/00001_00000_00008.png
579,61,61,5,6,55,56,1,Train/1/00001_00000_00009.png
580,61,62,5,6,56,57,1,Train/1/00001_00000_00010.png
581,63,62,5,5,57,57,1,Train/1/00001_00000_00011.png
582,65,65,5,6,59,60,1,Train/1/00001_00000_00012.png
583,68,68,7,7,62,62,1,Train/1/00001_00000_00013.png
584,68,69,7,7,62,63,1,Train/1/00001_00000_00014.png
585,69,70,7,7,63,64,1,Train/1/00001_00000_00015.png
586,71,72,6,6,65,66,1,Train/1/00001_00000_00016.png
587,72,74,6,6,66,67,1,Train/1/00001_00000_00017.png
588,74,74,6,6,68,68,1,Train/1/00001_00000_00018.png
589,79,80,7,8,72,73,1,Train/1/00001_00000_00019.png
590,81,81,8,8,74,74,1,Train/1/00001_00000_00020.png
591,82,82,7,7,75,75,1,Train/1/00001_00000_00021.png
592,85,86,7,7,78,78,1,Train/1/00001_00000_00022.png
593,89,88,8,7,82,81,1,Train/1/00001_00000_00023.png
594,93,94,8,9,84,85,1,Train/1/00001_00000_00024.png
595,97,96,9,8,88,88,1,Train/1/00001_00000_00025.png
596,100,104,9,9,92,95,1,Train/1/00001_00000_00026.png
597,105,107,10,9,96,98,1,Train/1/00001_00000_00027.png
598,108,110,10,9,99,101,1,Train/1/00001_00000_00028.png
599,114,118,10,11,104,108,1,Train/1/00001_00000_00029.png
600,30,32,5,5,25,27,1,Train/1/00001_00001_00000.png
601,30,33,5,6,25,28,1,Train/1/00001_00001_00001.png
602,31,33,5,6,25,28,1,Train/1/00001_00001_00002.png
603,32,33,6,6,26,28,1,Train/1/00001_00001_00003.png
604,32,33,5,6,26,28,1,Train/1/00001_00001_00004.png
605,34,33,6,5,29,28,1,Train/1/00001_00001_00005.png
606,36,34,6,5,31,29,1,Train/1/00001_00001_00006.png
607,37,35,6,5,32,30,1,Train/1/00001_00001_00007.png
608,37,36,5,5,31,30,1,Train/1/00001_00001_00008.png
609,38,37,6,5,33,31,1,Train/1/00001_00001_00009.png
610,38,39,5,6,33,34,1,Train/1/00001_00001_00010.png
611,38,39,5,5,33,33,1,Train/1/00001_00001_00011.png
612,39,39,5,5,34,34,1,Train/1/00001_00001_00012.png
613,39,41,5,6,34,35,1,Train/1/00001_00001_00013.png
614,40,42,5,6,35,36,1,Train/1/00001_00001_00014.png
615,42,43,5,6,37,38,1,Train/1/00001_00001_00015.png
616,44,45,5,6,38,39,1,Train/1/00001_00001_00016.png
617,44,46,5,6,39,40,1,Train/1/00001_00001_00017.png
618,46,46,6,6,41,41,1,Train/1/00001_00001_00018.png
619,48,46,6,5,42,41,1,Train/1/00001_00001_00019.png
620,48,48,5,5,43,43,1,Train/1/00001_00001_00020.png
621,51,50,6,5,46,45,1,Train/1/00001_00001_00021.png
622,53,53,6,6,48,48,1,Train/1/00001_00001_00022.png
623,55,54,6,6,49,49,1,Train/1/00001_00001_00023.png
624,57,55,6,5,52,49,1,Train/1/00001_00001_00024.png
625,59,57,6,6,54,52,1,Train/1/00001_00001_00025.png
626,61,57,6,5,56,52,1,Train/1/00001_00001_00026.png
627,63,60,5,5,58,54,1,Train/1/00001_00001_00027.png
628,68,61,7,5,62,56,1,Train/1/00001_00001_00028.png
629,71,67,6,6,65,61,1,Train/1/00001_00001_00029.png
